Country,outbreak.identifier,react.vac.start.date.one,react.vac.end.date.one,react.vac.start.date.two,react.vac.end.date.two,Geographic.marker.1,Geographic.marker.2,Geographic.marker.3,vacc.marker,reac.vac.one,reac.target.pop.one,reac.vac.perc.one,source.one,source.two,source.three
South Sudan,South_Sudan_2018,3/25/2019,3/29/2019,,,Nzara County ,Gbudue State,Sakure Payam locality,SouthSudan_2018_1,,19578,102,https://iris.who.int/handle/10665/311482,https://iris.who.int/handle/10665/311934,
Nigeria ,NigeriaEbonyi_2019,9/7/2019,9/16/2019,,,North-Central Zone,Benue State,,Nigeria_2019_1_pv,710308,,78,https://pmc.ncbi.nlm.nih.gov/articles/PMC8504075/,https://www.afro.who.int/news/nigeria-launches-yellow-fever-vaccination-reactive-campaign-contain-outbreak-ebonyi-state?country=979&name=Nigeria,
Nigeria ,NigeriaBauchi_2019,9/12/2019,9/19/2019,,,North-East Zone,Bauchi State,,Nigeria_2019_1_pv,407708,618460,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8504075/,https://reliefweb.int/report/nigeria/bauchi-state-governor-initiates-yellow-fever-campaign-targeting-500000-people,https://iris.who.int/handle/10665/333916
South Sudan,South_Sudan_2020,10/23/2020,10/27/2020,,,Central Equatoria State,,,SouthSudan_2020_1,,704005,97.5,https://www.afro.who.int/news/south-sudan-conducts-vaccination-campaign-protect-93-000-people-yellow-fever,https://iris.who.int/handle/10665/344323,https://app.powerbi.com/view?r=eyJrIjoiMzhlYWRjODQtMjQ4Ny00OThjLTlmNTItYTFiM2E2ZDM5ZDQ2IiwidCI6ImY2MTBjMGI3LWJkMjQtNGIzOS04MTBiLTNkYzI4MGFmYjU5MCIsImMiOjh9
Ghana,Ghana_2021,12/17/2021,12/21/2021,,,"Savannah Region, Upper West Region, Northern Region, North East Region, Brong Ahafo Region, Oti Region, Ahafo Region",,,Ghana_2021_1,535562,568467,,https://iris.who.int/bitstream/handle/10665/374029/9789290314905-eng.pdf?sequence=1&isAllowed=y,,
Chad,Chad_2021,1/19/2022,1/30/2022,,,"Goundi Health District, Koumra Health District, Bourna Health District, Badeya Health District, Bejondo Health District, Moissala Health District, Bekourou Health District, and Melfi Health District",,,Chad_2022_1_admin,,1117848,107,https://iris.who.int/handle/10665/361613,https://iris.who.int/items/48c8e8be-fec6-4960-b14e-610e0c61cca2,
Ghana,Ghana_2021,2/26/2022,3/2/2022,,,Savannah Region,,,Ghana_2021_2,538905,603394,,https://iris.who.int/bitstream/handle/10665/374029/9789290314905-eng.pdf?sequence=1&isAllowed=y,https://www.afro.who.int/countries/ghana/publication/who-ghana-2022-annual-report,
Kenya,Kenya_2022,7/23/2022,8/1/2022,,,Garissa County,,,Kenya_2022_1,189508,367363,,https://reliefweb.int/report/kenya/kenya-vector-borne-diseases-outbreaks-dref-ndeg-mdrke050-final-report,https://reliefweb.int/report/kenya/unicef-kenya-humanitarian-situation-report-no-3-drought-1-july-31-july-2022,
Kenya,Kenya_2022,7/23/2022,8/1/2022,,,Isiolo County,,,Kenya_2022_1,177390,343937,,https://reliefweb.int/report/kenya/kenya-vector-borne-diseases-outbreaks-dref-ndeg-mdrke050-final-report,https://reliefweb.int/report/kenya/unicef-kenya-humanitarian-situation-report-no-3-drought-1-july-31-july-2022,
Kenya,Kenya_2022,7/23/2022,8/1/2022,,,"Garissa County, Isiolo County",,,Kenya_2022_1,367384,711300,,https://reliefweb.int/report/kenya/kenya-vector-borne-diseases-outbreaks-dref-ndeg-mdrke050-final-report,https://reliefweb.int/report/kenya/unicef-kenya-humanitarian-situation-report-no-7-january-december-2022,
Central African Republic ,CAR_2022,11/2/2022,11/19/2022,,,"Kembe Locality, Satema Locality",,,CAR_2016_1,,345920,101.7,https://reliefweb.int/report/cameroon/disease-outbreak-news-yellow-fever-east-west-and-central-africa-22-december-2022,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON405,
South Sudan,South_Sudan_2023,2/13/2024,2/21/2024,,,Western Equatoria State,Yambio County,,SouthSudan_2024_1_admin,165790,226864,,https://reliefweb.int/report/south-sudan/weekly-situation-update-yellow-fever-outbreak-western-equatoria-state-south-sudan-situation-report-number-037-10-april-2024,https://reliefweb.int/report/south-sudan/south-sudan-health-cluster-bulletin-02-february-2024,https://reliefweb.int/report/south-sudan/south-sudan-integrated-disease-surveillance-and-response-idsr-epidemiological-bulletin-reporting-period-epidemiological-week-07-12-18-february-2024
South Sudan,South_Sudan_2023,2/13/2024,2/21/2024,,,Western Equatoria State,Nzara County,,SouthSudan_2024_1_admin,63451,97755,,https://reliefweb.int/report/south-sudan/weekly-situation-update-yellow-fever-outbreak-western-equatoria-state-south-sudan-situation-report-number-037-10-april-2024,https://reliefweb.int/report/south-sudan/south-sudan-health-cluster-bulletin-02-february-2024,https://reliefweb.int/report/south-sudan/south-sudan-integrated-disease-surveillance-and-response-idsr-epidemiological-bulletin-reporting-period-epidemiological-week-07-12-18-february-2024
South Sudan,South_Sudan_2023,2/13/2024,2/21/2024,,,Western Equatoria State,Tambura County,,SouthSudan_2024_1_admin,58827,82080,,https://reliefweb.int/report/south-sudan/weekly-situation-update-yellow-fever-outbreak-western-equatoria-state-south-sudan-situation-report-number-037-10-april-2024,https://reliefweb.int/report/south-sudan/south-sudan-health-cluster-bulletin-02-february-2024,https://reliefweb.int/report/south-sudan/south-sudan-integrated-disease-surveillance-and-response-idsr-epidemiological-bulletin-reporting-period-epidemiological-week-07-12-18-february-2024
South Sudan,South_Sudan_2023,3/19/2024,3/30/2024,,,Western Equatoria State,Ezo County,,SouthSudan_2024_2_admin,121341,138859,,https://reliefweb.int/report/south-sudan/weekly-situation-update-yellow-fever-outbreak-western-equatoria-state-south-sudan-situation-report-number-037-10-april-2024,,
South Sudan,South_Sudan_2023,3/19/2024,3/30/2024,,,Western Equatoria State,Ibba County,,SouthSudan_2024_2_admin,56389,62711,,https://reliefweb.int/report/south-sudan/weekly-situation-update-yellow-fever-outbreak-western-equatoria-state-south-sudan-situation-report-number-037-10-april-2024,,
Cameroon,Cameroon_2024,7/24/2024,7/30/2024,,,Douala City ,"Bangue Health District, Boko Health District, Bonassama Health District, Cité des Palmiers Health District, Deido Health District, Japoma Health District, Logbaba Health District, New Bell Health District, Nylon Health District",,Cameroon_2024_1_pv,,,65.2,https://iris.who.int/server/api/core/bitstreams/b731a90f-ee4e-4215-95c9-6c0e41ee1a7f/content,,
Cameroon,Cameroon_2024,7/24/2024,7/30/2024,,,Douala City ,"Bangue Health District, Boko Health District, Bonassama Health District, Cité des Palmiers Health District, Deido Health District, Japoma Health District, Logbaba Health District, New Bell Health District, Nylon Health District",,Cameroon_2024_1_admin,,,90,https://iris.who.int/server/api/core/bitstreams/b731a90f-ee4e-4215-95c9-6c0e41ee1a7f/content,,
